,time,hrv_rnssd
0,2024-09-21T00:00:00.000,19.225
1,2024-09-21T00:05:00.000,20.674
2,2024-09-21T00:10:00.000,20.769
3,2024-09-21T00:15:00.000,20.389
4,2024-09-21T00:20:00.000,18.907
5,2024-09-21T00:25:00.000,20.513
6,2024-09-21T00:30:00.000,25.893
7,2024-09-21T00:35:00.000,17.898
8,2024-09-21T00:40:00.000,16.188
9,2024-09-21T00:45:00.000,16.546
10,2024-09-21T00:50:00.000,15.786
11,2024-09-21T00:55:00.000,17.3
12,2024-09-21T01:00:00.000,15.674
13,2024-09-21T01:05:00.000,14.715
14,2024-09-21T01:10:00.000,16.844
15,2024-09-21T01:15:00.000,16.981
16,2024-09-21T01:20:00.000,19.445
17,2024-09-21T01:25:00.000,20.964
18,2024-09-21T01:30:00.000,22.525
19,2024-09-21T01:35:00.000,20.055
20,2024-09-21T01:40:00.000,20.078
21,2024-09-21T01:45:00.000,16.356
22,2024-09-21T01:50:00.000,13.856
23,2024-09-21T01:55:00.000,16.297
24,2024-09-21T02:00:00.000,13.946
25,2024-09-21T02:05:00.000,12.82
26,2024-09-21T02:10:00.000,20.988
27,2024-09-21T02:15:00.000,14.759
28,2024-09-21T02:20:00.000,16.67
29,2024-09-21T02:25:00.000,18.72
30,2024-09-21T02:30:00.000,23.069
31,2024-09-21T02:35:00.000,25.399
32,2024-09-21T02:40:00.000,26.218
33,2024-09-21T02:45:00.000,24.567
34,2024-09-21T02:50:00.000,23.97
35,2024-09-21T02:55:00.000,25.933
36,2024-09-21T03:00:00.000,27.918
37,2024-09-21T03:05:00.000,28.651
38,2024-09-21T03:10:00.000,30.495
39,2024-09-21T03:15:00.000,33.688
40,2024-09-21T03:20:00.000,31.294
41,2024-09-21T03:25:00.000,27.412
42,2024-09-21T03:30:00.000,22.082
43,2024-09-21T03:40:00.000,28.168
44,2024-09-21T03:45:00.000,24.585
45,2024-09-21T03:50:00.000,28.709
46,2024-09-21T03:55:00.000,30.489
47,2024-09-21T04:00:00.000,28.244
48,2024-09-21T04:05:00.000,27.898
49,2024-09-21T04:10:00.000,27.129
50,2024-09-21T04:15:00.000,29.871
51,2024-09-21T04:20:00.000,33.125
52,2024-09-21T04:25:00.000,26.142
53,2024-09-21T04:30:00.000,26.917
54,2024-09-21T04:35:00.000,28.611
55,2024-09-21T04:40:00.000,25.621
56,2024-09-21T04:45:00.000,27.917
57,2024-09-21T04:50:00.000,26.195
58,2024-09-21T04:55:00.000,22.5
59,2024-09-21T05:00:00.000,21.638
60,2024-09-21T05:05:00.000,25.277
61,2024-09-21T05:10:00.000,22.672
62,2024-09-21T05:15:00.000,29.659
63,2024-09-21T05:20:00.000,31.656
64,2024-09-21T05:25:00.000,37.593
65,2024-09-21T05:30:00.000,29.701
66,2024-09-21T05:35:00.000,30.606
67,2024-09-21T05:40:00.000,36.344
68,2024-09-21T05:45:00.000,38.772
69,2024-09-21T05:50:00.000,33.536
70,2024-09-21T05:55:00.000,31.942
71,2024-09-21T06:00:00.000,40.414
72,2024-09-21T06:05:00.000,33.116
73,2024-09-21T06:10:00.000,35.357
74,2024-09-21T06:15:00.000,44.368
75,2024-09-21T06:20:00.000,34.659
76,2024-09-21T06:25:00.000,25.462
77,2024-09-21T06:30:00.000,19.566
78,2024-09-21T06:35:00.000,31.422
79,2024-09-21T06:40:00.000,41.726
80,2024-09-21T07:00:00.000,33.497
81,2024-09-21T07:05:00.000,31.754
82,2024-09-21T07:10:00.000,33.903
83,2024-09-21T07:15:00.000,39.47
84,2024-09-21T07:20:00.000,41.169
85,2024-09-21T07:25:00.000,38.765
86,2024-09-21T07:45:00.000,40.424
87,2024-09-21T07:50:00.000,41.633
88,2024-09-21T07:55:00.000,35.264
89,2024-09-21T08:00:00.000,38.906
90,2024-09-21T08:05:00.000,17.829
91,2024-09-21T08:10:00.000,14.632
92,2024-09-21T08:15:00.000,17.706
93,2024-09-21T08:20:00.000,36.121
94,2024-09-21T08:25:00.000,19.483
95,2024-09-21T08:30:00.000,35.92
96,2024-09-21T08:35:00.000,36.534
97,2024-09-21T08:40:00.000,31.279
98,2024-09-21T08:45:00.000,27.673
99,2024-09-21T08:50:00.000,34.896
100,2024-09-21T08:55:00.000,39.044
101,2024-09-21T09:00:00.000,36.962
102,2024-09-21T09:05:00.000,30.776
103,2024-09-21T09:10:00.000,28.266
104,2024-09-21T09:15:00.000,37.002
