,time,hrv_rnssd
0,2024-09-29T04:25:00.000,11.674
1,2024-09-29T04:30:00.000,12.791
2,2024-09-29T04:35:00.000,11.865
3,2024-09-29T04:40:00.000,12.593
4,2024-09-29T04:45:00.000,14.079
5,2024-09-29T04:50:00.000,16.448
6,2024-09-29T04:55:00.000,15.992
7,2024-09-29T05:00:00.000,15.665
8,2024-09-29T05:05:00.000,12.74
9,2024-09-29T05:10:00.000,14.016
10,2024-09-29T05:15:00.000,14.787
11,2024-09-29T05:20:00.000,13.518
12,2024-09-29T05:25:00.000,15.015
13,2024-09-29T05:30:00.000,14.898
14,2024-09-29T05:35:00.000,14.605
15,2024-09-29T05:40:00.000,17.204
16,2024-09-29T05:45:00.000,17.51
17,2024-09-29T05:50:00.000,23.553
18,2024-09-29T05:55:00.000,21.33
19,2024-09-29T06:00:00.000,15.898
20,2024-09-29T06:05:00.000,19.115
21,2024-09-29T06:10:00.000,17.818
22,2024-09-29T06:15:00.000,13.717
23,2024-09-29T06:20:00.000,18.912
24,2024-09-29T06:25:00.000,19.945
25,2024-09-29T06:30:00.000,19.534
26,2024-09-29T06:35:00.000,17.949
27,2024-09-29T06:40:00.000,15.509
28,2024-09-29T06:45:00.000,18.162
29,2024-09-29T06:50:00.000,18.09
30,2024-09-29T06:55:00.000,18.12
31,2024-09-29T07:00:00.000,18.648
32,2024-09-29T07:05:00.000,25.181
33,2024-09-29T07:10:00.000,23.364
34,2024-09-29T07:15:00.000,23.002
35,2024-09-29T07:20:00.000,23.502
36,2024-09-29T07:25:00.000,20.563
37,2024-09-29T07:30:00.000,14.465
38,2024-09-29T07:35:00.000,21.662
39,2024-09-29T07:40:00.000,26.026
40,2024-09-29T07:45:00.000,17.565
41,2024-09-29T07:50:00.000,24.96
42,2024-09-29T07:55:00.000,20.682
43,2024-09-29T08:00:00.000,29.914
44,2024-09-29T08:05:00.000,18.984
45,2024-09-29T08:10:00.000,16.501
46,2024-09-29T08:15:00.000,21.819
47,2024-09-29T08:20:00.000,20.984
48,2024-09-29T08:25:00.000,21.524
49,2024-09-29T08:30:00.000,20.683
50,2024-09-29T08:35:00.000,21.058
51,2024-09-29T08:40:00.000,20.761
52,2024-09-29T08:45:00.000,21.971
53,2024-09-29T08:50:00.000,22.526
54,2024-09-29T08:55:00.000,24.089
55,2024-09-29T09:00:00.000,19.95
56,2024-09-29T09:05:00.000,21.531
57,2024-09-29T09:10:00.000,19.135
58,2024-09-29T09:15:00.000,20.845
59,2024-09-29T09:20:00.000,20.925
60,2024-09-29T09:25:00.000,23.278
61,2024-09-29T09:30:00.000,13.626
