,time,HR
0,00:00:00,70.0
1,00:01:00,70.0
2,00:02:00,70.0
3,00:03:00,71.0
4,00:04:00,70.0
5,00:05:00,70.0
6,00:06:00,70.0
7,00:07:00,69.0
8,00:08:00,69.0
9,00:09:00,69.0
10,00:10:00,69.0
11,00:11:00,69.0
12,00:12:00,69.0
13,00:13:00,69.0
14,00:14:00,69.0
15,00:15:00,70.0
16,00:16:00,70.0
17,00:17:00,70.0
18,00:18:00,69.0
19,00:19:00,69.0
20,00:20:00,70.0
21,00:21:00,70.0
22,00:22:00,70.0
23,00:23:00,70.0
24,00:24:00,70.0
25,00:25:00,70.0
26,00:26:00,71.0
27,00:27:00,71.0
28,00:28:00,76.0
29,00:29:00,83.0
30,00:30:00,69.0
31,00:31:00,76.0
32,00:32:00,68.0
33,00:33:00,67.0
34,00:34:00,68.0
35,00:35:00,69.0
36,00:36:00,71.0
37,00:37:00,73.0
38,00:38:00,78.0
39,00:39:00,77.0
40,00:40:00,78.0
41,00:41:00,78.0
42,00:42:00,77.0
43,00:43:00,77.0
44,00:44:00,72.0
45,00:45:00,74.0
46,00:46:00,75.0
47,00:47:00,76.0
48,00:48:00,75.0
49,00:49:00,74.0
50,00:50:00,78.0
51,00:51:00,79.0
52,00:52:00,80.0
53,00:53:00,75.0
54,00:54:00,74.0
55,00:55:00,76.0
56,00:56:00,74.0
57,00:57:00,75.0
58,00:58:00,75.0
59,00:59:00,74.0
60,01:00:00,74.0
61,01:01:00,72.0
62,01:02:00,73.0
63,01:03:00,71.0
64,01:04:00,70.0
65,01:05:00,70.0
66,01:06:00,70.0
67,01:07:00,70.0
68,01:08:00,69.0
69,01:09:00,70.0
70,01:10:00,69.0
71,01:11:00,70.0
72,01:12:00,70.0
73,01:13:00,70.0
74,01:14:00,71.0
75,01:15:00,70.0
76,01:16:00,71.0
77,01:17:00,70.0
78,01:18:00,71.0
79,01:19:00,71.0
80,01:20:00,71.0
81,01:21:00,73.0
82,01:22:00,72.0
83,01:23:00,72.0
84,01:24:00,72.0
85,01:25:00,73.0
86,01:26:00,73.0
87,01:27:00,73.0
88,01:28:00,72.0
89,01:29:00,72.0
90,01:30:00,71.0
91,01:31:00,73.0
92,01:32:00,72.0
93,01:33:00,77.0
94,01:34:00,78.0
95,01:35:00,70.0
96,01:36:00,75.0
97,01:37:00,69.0
98,01:38:00,70.0
99,01:39:00,70.0
100,01:40:00,71.0
101,01:41:00,69.0
102,01:42:00,69.0
103,01:43:00,70.0
104,01:44:00,71.0
105,01:45:00,72.0
106,01:46:00,79.0
107,01:47:00,70.0
108,01:48:00,72.0
109,01:49:00,73.0
110,01:50:00,73.0
111,01:51:00,73.0
112,01:52:00,75.0
113,01:53:00,76.0
114,01:54:00,73.0
115,01:55:00,76.0
116,01:56:00,79.0
117,01:57:00,69.0
118,01:58:00,71.0
119,01:59:00,71.0
120,02:00:00,70.0
121,02:01:00,70.0
122,02:02:00,69.0
123,02:03:00,69.0
124,02:04:00,68.0
125,02:05:00,69.0
126,02:06:00,69.0
